Bezirk,Domain,Status,Auth Code
nak-kuenzelsau.de,nak-bitzfeld.de,free,
nak-kuenzelsau.de,nak-waldbach.de,free,
nak-kuenzelsau.de,nak-ernsbach.de,free,
nak-kuenzelsau.de,nak-ingelfingen.de,free,
nak-kuenzelsau.de,nak-gaisbach.de,free,
nak-kuenzelsau.de,nak-moeckmuehl.de,free,
nak-kuenzelsau.de,nak-neuenstadt.de,free,
nak-kuenzelsau.de,nak-neuenstein.de,free,
nak-kuenzelsau.de,nak-eschenau.de,free,
nak-kuenzelsau.de,nak-oehringen.de,free,
nak-landshut.de,nak-deggendorf.de,free,
nak-landshut.de,nak-dingolfing.de,free,
nak-landshut.de,nak-kelheim.de,free,
nak-landshut.de,nak-landau.de,connect,
nak-landshut.de,nak-landshut.de,connect,
nak-landshut.de,nak-moosburg.de,connect,
nak-landshut.de,nak-passau.de,connect,
nak-landshut.de,nak-pielmuehle.de,free,
nak-landshut.de,nak-plattling.de,free,
nak-landshut.de,nak-regensburg.de,free,
nak-landshut.de,nak-straubing.de,free,
nak-landshut.de,nak-vilshofen.de,free,
nak-landshut.de,nak-zwiesel.de,free,
nak-loerrach.de,nak-bad-saeckingen.de,free,
nak-loerrach.de,nak-bonndorf.de,free,
nak-loerrach.de,nak-grenzach-wyhlen.de,free,
nak-loerrach.de,nak-haeusern.de,connect,
nak-loerrach.de,nak-jestetten.de,free,
nak-loerrach.de,nak-laufenburg.de,free,
nak-loerrach.de,nak-loerrach.de,connect,
nak-loerrach.de,nak-maulburg.de,free,
nak-loerrach.de,nak-rheinfelden.de,free,
nak-loerrach.de,nak-schopfheim.de,free,
nak-loerrach.de,nak-steinen.de,free,
nak-loerrach.de,nak-tiengen.de,free,
nak-loerrach.de,nak-waldshut.de,connect,
nak-loerrach.de,nak-wehr.de,free,
nak-loerrach.de,nak-weil.de,free,
nak-loerrach.de,nak-zell.de,free,
nak-mannheim-weinheim.de,nak-ma-gartenstadt.de,free,
nak-mannheim-weinheim.de,nak-hockenheim.de,free,
nak-mannheim-weinheim.de,nak-ma-moselstrasse.de,free,
nak-mannheim-weinheim.de,nak-ma-rheinau.de,free,
nak-mannheim-weinheim.de,nak-ma-sandhofen.de,free,
nak-mannheim-weinheim.de,nak-schwetzingen.de,free,
nak-mannheim-weinheim.de,nak-ma-vogelstang.de,free,
nak-memmingen.de,nak-aitrach.de,free,
nak-memmingen.de,nak-babenhausen.de,free,
nak-memmingen.de,nak-bad-woerishofen.de,free,
nak-memmingen.de,nak-bad-wurzach.de,connect,
nak-memmingen.de,nak-buchloe.de,free,
nak-memmingen.de,nak-illertissen.de,free,
nak-memmingen.de,nak-kirchdorf.de,free,
nak-memmingen.de,nak-krumbach.de,free,
nak-memmingen.de,nak-leutkirch.de,free,
nak-memmingen.de,nak-mindelheim.de,free,
nak-memmingen.de,nak-voehringen-iller.de,free,
nak-memmingen.de,nak-wain.de,free,
nak-muenchen.de,nak-muenchen-allach.de,free,
nak-muenchen.de,nak-muenchen-bogenhausen.de,free,
nak-muenchen.de,nak-dachau.de,connect,
nak-muenchen.de,nak-erding.de,connect,
nak-muenchen.de,nak-freising.de,connect,
nak-muenchen.de,nak-fuerstenfeldbruck.de,free,
nak-muenchen.de,nak-garching.de,connect,
nak-muenchen.de,nak-groebenzell.de,connect,
nak-muenchen.de,nak-muenchen-harthof.de,free,
nak-muenchen.de,nak-muenchen-laim.de,free,
nak-muenchen.de,nak-muenchen-moosach.de,free,
nak-muenchen.de,nak-muenchen-neuhausen.de,connect,
nak-muenchen.de,nak-oberschleissheim.de,connect,
nak-nagold.de,nak-altensteig.de,free,
nak-nagold.de,nak-ebershardt.de,free,
nak-nagold.de,nak-egenhausen.de,free,
nak-nagold.de,nak-enzkloesterle.de,free,
nak-nagold.de,nak-haiterbach.de,free,
nak-nagold.de,nak-horb.de,free,
nak-nagold.de,nak-muehringen.de,free,
nak-nagold.de,nak-pfalzgrafenweiler.de,free,
nak-nagold.de,nak-rotfelden.de,free,
nak-nagold.de,nak-simmersfeld.de,free,
nak-nagold.de,nak-spielberg.de,free,
nak-noerdlingen.de,nak-dinkelsbuehl.de,free,
nak-noerdlingen.de,nak-donauwoerth.de,free,
nak-noerdlingen.de,nak-gunzenhausen.de,free,
nak-noerdlingen.de,nak-harburg.de,free,
nak-noerdlingen.de,nak-lauingen.de,free,
nak-noerdlingen.de,nak-moenchsdeggingen.de,free,
nak-noerdlingen.de,nak-noerdlingen.de,connect,
nak-noerdlingen.de,nak-rudelstetten.de,free,
nak-noerdlingen.de,nak-wassertruedingen.de,free,
nak-noerdlingen.de,nak-weissenburg.de,free,
nak-nuernberg.de,nak-altdorf.de,free,
nak-nuernberg.de,nak-amberg.de,free,
nak-nuernberg.de,nak-ansbach.de,free,
nak-nuernberg.de,nak-badwindsheim.de,free,
nak-nuernberg.de,nak-cham.de,free,
nak-nuernberg.de,nak-erlangen.de,free,
nak-nuernberg.de,nak-feucht.de,free,
nak-nuernberg.de,nak-forchheim.de,free,
nak-nuernberg.de,nak-fuerth.de,free,
nak-nuernberg.de,nak-hersbruck.de,free,
nak-nuernberg.de,nak-herzogenaurach.de,free,
nak-nuernberg.de,nak-hoechstadt-aisch.de,free,
nak-nuernberg.de,nak-karlstadt.de,free,
nak-nuernberg.de,nak-kitzingen.de,free,
nak-nuernberg.de,nak-lauf.de,free,
nak-nuernberg.de,nak-neumarkt.de,free,
nak-nuernberg.de,nak-neustadt-aisch.de,free,
nak-nuernberg.de,nak-nuernberg-mitte.de,free,
nak-nuernberg.de,nak-nuernberg-nord.de,free,
nak-nuernberg.de,nak-nuernberg-ost.de,free,
nak-nuernberg.de,nak-nuernberg-suedwest.de,free,
nak-nuernberg.de,nak-ochsenfurt.de,free,
nak-nuernberg.de,nak-roth.de,free,
nak-nuernberg.de,nak-schwabach.de,free,
nak-nuernberg.de,nak-schwandorf.de,free,
nak-nuernberg.de,nak-weiden.de,connect,
nak-nuernberg.de,nak-wilhermsdorf.de,free,
nak-nuernberg.de,nak-wuerzburg.de,free,
nak-nuernberg.de,nak-zirndorf.de,free,
nak-nuertingen.de,nak-aichtal-neuenhaus.de,free,
nak-nuertingen.de,nak-bad-urach.de,free,
nak-nuertingen.de,nak-filderstadt-sielmingen.de,free,
nak-nuertingen.de,nak-frickenhausen.de,free,
nak-nuertingen.de,nak-grafenberg.de,free,
nak-nuertingen.de,nak-grossbettlingen.de,free,
nak-nuertingen.de,nak-metzingen.de,free,
nak-nuertingen.de,nak-muensingen.de,free,
nak-nuertingen.de,nak-neckartenzlingen.de,free,
nak-nuertingen.de,nak-nuertingen-reudern.de,free,
nak-nuertingen.de,nak-nuertingen.de,connect,
nak-nuertingen.de,nak-oberboihingen.de,free,
nak-nuertingen.de,nak-st-johann-upfingen.de,free,
nak-nuertingen.de,nak-wolfschlugen.de,connect,
nak-freiburg-offenburg.de,nak-gengenbach.de,free,
nak-freiburg-offenburg.de,nak-herbolzheim.de,connect,
nak-freiburg-offenburg.de,nak-kehl.de,free,
nak-freiburg-offenburg.de,nak-lahr.de,free,
nak-freiburg-offenburg.de,nak-meissenheim.de,free,
nak-freiburg-offenburg.de,nak-offenburg.de,connect,
nak-freiburg-offenburg.de,nak-renchen.de,free,
nak-peiting.de,nak-fuessen.de,free,
nak-peiting.de,nak-garmisch.de,free,
nak-peiting.de,nak-kaufbeuren.de,free,
nak-peiting.de,nak-marktoberdorf.de,free,
nak-peiting.de,nak-murnau.de,free,
nak-peiting.de,nak-peissenberg.de,free,
nak-peiting.de,nak-pfronten.de,free,
nak-peiting.de,nak-schongau.de,free,
nak-peiting.de,nak-weilheim.de,free,
nak-pforzheim.de,nak-pforzheim-bayernstrasse.de,free,
nak-pforzheim.de,nak-birkenfeld.de,free,
nak-pforzheim.de,nak-pforzheim-broetzingen.de,free,
nak-pforzheim.de,nak-pforzheim-buckenberg.de,free,
nak-pforzheim.de,nak-pforzheim-buechenbronn.de,free,
nak-pforzheim.de,nak-eisingen.de,free,
nak-pforzheim.de,nak-engelsbrand.de,free,
nak-pforzheim.de,nak-graefenhausen.de,free,
nak-pforzheim.de,nak-grunbach.de,free,
nak-pforzheim.de,nak-ispringen.de,free,
nak-pforzheim.de,nak-kieselbronn.de,free,
nak-pforzheim.de,nak-muehlacker.de,free,
nak-pforzheim.de,nak-neulingen.de,free,
nak-pforzheim.de,nak-niefern.de,free,
nak-pforzheim.de,nak-oetisheim.de,free,
nak-pforzheim.de,nak-pforzheim-wuerm.de,free,
nak-ravensburg.de,nak-bad-saulgau.de,free,
nak-ravensburg.de,nak-bad-waldsee.de,free,
nak-ravensburg.de,nak-fischbach.de,free,
nak-ravensburg.de,nak-friedrichshafen.de,free,
nak-ravensburg.de,nak-langenargen.de,free,
nak-ravensburg.de,nak-lindau.de,free,
nak-ravensburg.de,nak-markdorf.de,free,
nak-ravensburg.de,nak-ravensburg.de,connect,
nak-ravensburg.de,nak-tettnang.de,free,
nak-ravensburg.de,nak-wangen.de,free,
nak-reutlingen.de,nak-degerschlacht.de,free,
nak-reutlingen.de,nak-engstingen.de,free,
nak-reutlingen.de,nak-eningen.de,free,
nak-reutlingen.de,nak-gomaringen.de,free,
nak-reutlingen.de,nak-hohenstein.de,free,
nak-reutlingen.de,nak-kusterdingen.de,free,
nak-reutlingen.de,nak-lichtenstein-unterhausen.de,free,
nak-reutlingen.de,nak-maehringen.de,free,
nak-reutlingen.de,nak-pfullingen.de,free,
nak-reutlingen.de,nak-pliezhausen.de,free,
nak-reutlingen.de,nak-goenningen.de,free,
nak-reutlingen.de,nak-ohmenhausen.de,free,
nak-reutlingen.de,nak-sondelfingen.de,free,
nak-reutlingen.de,nak-reutlingen-sued.de,free,
nak-reutlingen.de,nak-reutlingen-west.de,free,
nak-reutlingen.de,nak-rommelsbach.de,free,
nak-reutlingen.de,nak-ruebgarten.de,free,
nak-reutlingen.de,nak-sickenhausen.de,free,
nak-reutlingen.de,nak-sonnenbuehl.de,free,
nak-reutlingen.de,nak-walddorfhaeslach.de,free,
nak-reutlingen.de,nak-wannweil.de,free,
nak-rosenheim.de,nak-bad-aibling.de,free,
nak-rosenheim.de,nak-bad-reichenhall.de,free,
nak-rosenheim.de,nak-burgkirchen.de,free,
nak-rosenheim.de,nak-eggenfelden.de,free,
nak-rosenheim.de,nak-freilassing.de,free,
nak-rosenheim.de,nak-pocking.de,connect,
nak-rosenheim.de,nak-prien.de,free,
nak-rosenheim.de,nak-rosenheim.de,connect,
nak-rosenheim.de,nak-toeging.de,free,
nak-rosenheim.de,nak-traunstein.de,free,
nak-rosenheim.de,nak-trostberg.de,free,
nak-rosenheim.de,nak-waldkraiburg.de,free,
nak-schwaebisch-gmuend.de,nak-aalen.de,free,
nak-schwaebisch-gmuend.de,nak-adelmannsfelden.de,free,
nak-schwaebisch-gmuend.de,nak-althuette.de,free,
nak-schwaebisch-gmuend.de,nak-bopfingen.de,free,
nak-schwaebisch-gmuend.de,nak-ellwangen.de,free,
nak-schwaebisch-gmuend.de,nak-essingen.de,free,
nak-schwaebisch-gmuend.de,nak-lorch.de,free,
nak-schwaebisch-gmuend.de,nak-pluederhausen.de,free,
nak-schwaebisch-gmuend.de,nak-remshalden.de,free,
nak-schwaebisch-gmuend.de,nak-rudersberg.de,free,
nak-schwaebisch-gmuend.de,nak-ruppertshofen.de,free,
nak-schwaebisch-gmuend.de,nak-schorndorf.de,free,
nak-schwaebisch-gmuend.de,nak-schwaebisch-gmuend.de,connect,
nak-schwaebisch-gmuend.de,nak-urbach.de,connect,
nak-schwaebisch-gmuend.de,nak-welzheim.de,free,
nak-schwaebisch-hall.de,nak-badmergentheim.de,free,
nak-schwaebisch-hall.de,nak-blaufelden.de,free,
nak-schwaebisch-hall.de,nak-crailsheim.de,free,
nak-schwaebisch-hall.de,nak-creglingen.de,free,
nak-schwaebisch-hall.de,nak-enslingen.de,free,
nak-schwaebisch-hall.de,nak-hessental.de,free,
nak-schwaebisch-hall.de,nak-ilshofen.de,free,
nak-schwaebisch-hall.de,nak-jagstheim.de,free,
nak-schwaebisch-hall.de,nak-michelfeld.de,free,
nak-schwaebisch-hall.de,nak-obersontheim.de,free,
nak-schwaebisch-hall.de,nak-rollhof.de,free,
nak-schwaebisch-hall.de,nak-rothenburg.de,free,
nak-schwaebisch-hall.de,nak-sailach.de,free,
nak-schwaebisch-hall.de,nak-sanzenbach.de,free,
nak-sindelfingen.de,nak-aidlingen.de,connect,
nak-sindelfingen.de,nak-neuhengstett.de,free,
nak-sindelfingen.de,nak-boeblingen.de,connect,
nak-sindelfingen.de,nak-ehningen.de,connect,
nak-sindelfingen.de,nak-grafenau.de,free,
nak-sindelfingen.de,nak-holzgerlingen.de,connect,
nak-sindelfingen.de,nak-magstadt.de,free,
nak-sindelfingen.de,nak-malmsheim.de,free,
nak-sindelfingen.de,nak-renningen.de,connect,
nak-sindelfingen.de,nak-sindelfingen.de,connect,
nak-sindelfingen.de,nak-weil-merklingen.de,free,
nak-sindelfingen.de,nak-weil-muenklingen.de,free,
nak-sindelfingen.de,nak-weil-der-stadt.de,free,
nak-soellingen.de,nak-berghausen.de,free,
nak-soellingen.de,nak-kleinsteinbach.de,free,
nak-soellingen.de,nak-koenigsbach.de,free,
nak-soellingen.de,nak-mutschelbach.de,free,
nak-soellingen.de,nak-noettingen.de,free,
nak-soellingen.de,nak-remchingen-singen.de,free,
nak-soellingen.de,nak-stein.de,connect,
nak-soellingen.de,nak-woeschbach.de,free,
nak-soellingen.de,nak-woessingen.de,free,
nak-stuttgart-bad-cannstatt.de,nak-berglen-steinach.de,free,
nak-stuttgart-bad-cannstatt.de,nak-korb.de,free,
nak-stuttgart-bad-cannstatt.de,nak-weiler-zum-stein.de,free,
nak-stuttgart-bad-cannstatt.de,nak-remseck.de,free,
nak-stuttgart-bad-cannstatt.de,nak-schwaikheim.de,connect,
nak-stuttgart-bad-cannstatt.de,nak-bad-cannstatt.de,free,
nak-stuttgart-bad-cannstatt.de,nak-stuttgart-muehlhausen.de,free,
nak-stuttgart-bad-cannstatt.de,nak-stuttgart-muenster.de,free,
nak-stuttgart-bad-cannstatt.de,nak-bittenfeld.de,free,
nak-stuttgart-bad-cannstatt.de,nak-hegnach.de,free,
nak-stuttgart-bad-cannstatt.de,nak-hohenacker-neustadt.de,free,
nak-stuttgart-bad-cannstatt.de,nak-waiblingen.de,free,
nak-stuttgart-bad-cannstatt.de,nak-winnenden.de,free,
nak-stuttgart-degerloch.de,nak-bonlanden.de,free,
nak-stuttgart-degerloch.de,nak-degerloch.de,free,
nak-stuttgart-degerloch.de,nak-dettenhausen.de,free,
nak-stuttgart-degerloch.de,nak-echterdingen.de,free,
nak-stuttgart-degerloch.de,nak-leinfelden.de,connect,
nak-stuttgart-degerloch.de,nak-moehringen.de,free,
nak-stuttgart-degerloch.de,nak-plattenhardt.de,free,
nak-stuttgart-degerloch.de,nak-plieningen.de,free,
nak-stuttgart-degerloch.de,nak-schoenaich.de,free,
